"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR150C",102.502370402397,-0.0263665314490252,0.307531247562333,1.40089826239986,0.496362321915856,0.541141779920398
"YDL214C",87.5239821451888,-0.0672633382905171,0.217045014265471,1.3990204177959,0.496828586428588,0.541544131284223
"YGR193C",65.6212175192959,0.250859134815093,0.234171875150169,1.39605663006474,0.497565379452758,0.542241144157143
"YJR022W",11.0321899826794,0.696383505527428,0.628681344806847,1.38397075674149,0.500581238671401,0.54542109928386
"YOR229W",59.1699776272096,-0.251547777389158,0.280935548958166,1.38304560273444,0.500812849605623,0.545566755016215
"YGL143C",86.059024464534,-0.201277428080013,0.22173856522624,1.38063838471336,0.501415995367025,0.546117010789774
"YBR289W",76.412732907837,0.00902262246045592,0.270160325514439,1.36992244685783,0.504109776844432,0.548943276745854
"YJL044C",48.8516291983493,-0.230896957264486,0.257610021720883,1.36953281014424,0.504207996249961,0.548943276745854
"YML014W",28.0555565321439,0.213009783530037,0.325967573355503,1.36433824621003,0.505519268721323,0.550263354053633
"YCR052W",14.7142730990116,-0.281267366274468,0.419203963387327,1.36226307239567,0.506044061107649,0.550726990511958
"YGR145W",92.8601880117378,0.305809737026646,0.289629698626953,1.36034513065182,0.506529575381977,0.551147707900975
"YDR076W",38.8039418194615,-0.327388703172464,0.283284625045884,1.35361419292278,0.508237156691022,0.55289771527547
"YJR067C",20.9736375026094,0.383330440030461,0.407047159929997,1.3369780880055,0.512482331337571,0.557407080804687
"YPL072W",32.9008288101623,0.196658596514942,0.3676557839536,1.33286694710813,0.513536858329289,0.55844502005709
"YPL016W",265.234128314167,0.2564787744137,0.275149097229438,1.33178540212666,0.513814640036837,0.558638048330449
"YOR352W",44.4193227281637,-0.299834441583458,0.289871377294701,1.32845435933182,0.514671122360956,0.559460062960563
"YPL241C",18.3999605352748,-0.250009066880391,0.443590763273813,1.32164019153148,0.516427640659271,0.561150455649074
"YPR186C",25.3574764877216,-0.510541082410722,0.461614276002284,1.32164936885334,0.516425270953369,0.561150455649074
"YPL057C",247.274996706372,0.0801633621379833,0.17199967634242,1.32070260737598,0.516669794601434,0.561304100180302
"YGL065C",54.3584112950924,0.334537554674818,0.29548808245198,1.31680819416553,0.517676837580378,0.562288489405398
"YOR308C",95.1055830132014,0.380526031243875,0.382032219219064,1.31607210375456,0.517867401124288,0.562385826834972
"YER185W",9.03312724162163,0.367083922261194,0.642515882930921,1.31547535632425,0.518021942199071,0.562431276425695
"YGR021W",71.9320758814318,0.139650716983175,0.266756742831662,1.31513090379212,0.51811116686711,0.562431276425695
"YPL270W",140.353077177952,-0.107724486992306,0.210068549140517,1.29926875301996,0.522236683857799,0.566799253023923
"YER071C",36.6892596954931,-0.354584401322727,0.364571257171545,1.29337120204376,0.523778915319801,0.568362356300469
"YOR295W",16.6287363347253,-0.45493874306787,0.413055823268667,1.29290826979778,0.523900166426853,0.568383218532424
"YDR125C",35.2801646735232,0.030055790107196,0.299888161358081,1.29097295402419,0.524407367913972,0.568712557627679
"YPL269W",39.0215765280914,-0.326265793313342,0.324857197973264,1.29097092636027,0.524407899575191,0.568712557627679
