"","Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"21","Upregulated","GO:0006164","purine nucleotide biosynthetic process","17/546","70/6447",0.242857142857143,2.86758241758242,4.77858430925175,5.19642058369178e-05,0.00331270488921603,0.00301213651152371,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YDR226W/YML081C-A/YKR080W/YOR128C/YPR020W/YDR400W/YOL077W-A/YML022W/YGL234W/YER170W",17
"22","Upregulated","GO:0006839","mitochondrial transport","19/546","84/6447",0.226190476190476,2.67078754578755,4.68822639195733,5.50648978788907e-05,0.00331270488921603,0.00301213651152371,"YOR020C/YBL030C/YJR045C/YGR243W/YMR241W/YHR005C-A/YLR259C/YER053C/YOR045W/YBR091C/YJR077C/YMR203W/YJR135W-A/YGR181W/YEL020W-A/YOR222W/YLR008C/YGL080W/YPL098C",19
"23","Upregulated","GO:0009201","ribonucleoside triphosphate biosynthetic process","10/546","28/6447",0.357142857142857,4.21703296703297,5.18895021457887,5.63969004085631e-05,0.00331270488921603,0.00301213651152371,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YML081C-A/YPR020W/YOL077W-A",10
"24","Upregulated","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","7/546","14/6447",0.5,5.90384615384615,5.58692374206948,6.09053583347287e-05,0.00342846412959243,0.00311739268318545,"YJR048W/YNL052W/YGL187C/YDL067C/YHR051W/YLR395C/YMR256C",7
"25","Upregulated","GO:0000096","sulfur amino acid metabolic process","13/546","46/6447",0.282608695652174,3.33695652173913,4.83820537308485,7.43706167364676e-05,0.00401898812843871,0.00365433725185085,"YAL012W/YLR303W/YER052C/YPR167C/YKL001C/YDR380W/YLL062C/YJR010W/YIR017C/YNL277W/YPL273W/YJR137C/YHR137W",13
"26","Upregulated","GO:0006119","oxidative phosphorylation","12/546","41/6447",0.292682926829268,3.45590994371482,4.79832392931547,9.66819836213195e-05,0.00500736457627921,0.00455303631658253,"YJR048W/YNL052W/YPL271W/YGL187C/YJR121W/YDL067C/YDR529C/YHR051W/YPR191W/YLR038C/YLR395C/YMR256C",12
"27","Upregulated","GO:0009260","ribonucleotide biosynthetic process","15/546","60/6447",0.25,2.95192307692308,4.62028249700536,0.000100073163256505,0.00500736457627921,0.00455303631658253,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YDR226W/YML081C-A/YOR128C/YPR020W/YOL077W-A/YML022W/YGL234W/YER170W",15
"28","Upregulated","GO:0042407","cristae formation","6/546","11/6447",0.545454545454545,6.44055944055944,5.49301201558046,0.000114620253263193,0.00546939072122003,0.00497314190008476,"YDR322C-A/YLR168C/YFR011C/YLR295C/YBR262C/YPR020W",6
"29","Upregulated","GO:0042273","ribosomal large subunit biogenesis","24/546","126/6447",0.19047619047619,2.24908424908425,4.30688002500787,0.000117403649826337,0.00546939072122003,0.00497314190008476,"YDR500C/YKL009W/YGR085C/YER131W/YGL076C/YLR075W/YIL148W/YKR094C/YDL191W/YGL078C/YEL054C/YFR031C-A/YLR009W/YNL069C/YPR102C/YLR448W/YKL006W/YLR435W/YLL034C/YJR055W/YAL025C/YPL211W/YFR001W/YCR016W",24
"30","Upregulated","GO:0000097","sulfur amino acid biosynthetic process","11/546","36/6447",0.305555555555556,3.60790598290598,4.77264308199827,0.000122830551541308,0.00553146917107691,0.00502958784732304,"YAL012W/YLR303W/YER052C/YPR167C/YKL001C/YLL062C/YIR017C/YNL277W/YPL273W/YJR137C/YHR137W",11
"31","Upregulated","GO:0007006","mitochondrial membrane organization","14/546","56/6447",0.25,2.95192307692308,4.46221989261777,0.000169943905404538,0.00740626503875908,0.00673427971501176,"YDR322C-A/YLR168C/YFR011C/YHR005C-A/YLR295C/YOR045W/YBR091C/YBR185C/YBR262C/YJR135W-A/YPR020W/YGR181W/YEL020W-A/YPL098C",14
"32","Upregulated","GO:0006163","purine nucleotide metabolic process","25/546","140/6447",0.178571428571429,2.10851648351648,4.03341976715314,0.000247495160454336,0.0104489363054315,0.00950088329770427,"YMR145C/YIL155C/YKL016C/YLR174W/YDR322C-A/YDL004W/YPL061W/YPL271W/YJR121W/YPL078C/YLR295C/YDR226W/YML081C-A/YKR080W/YNL241C/YOR095C/YOR128C/YPR020W/YOR222W/YDR400W/YOL077W-A/YML022W/YGL234W/YBR252W/YER170W",25
"33","Upregulated","GO:0055085","transmembrane transport","63/546","484/6447",0.130165289256198,1.53695168467896,3.73597662308348,0.000279271362617539,0.0114332003301907,0.0103958430677725,"YNR072W/YJL034W/YDR536W/YCL025C/YJR095W/YEL069C/YKL016C/YOR020C/YBR068C/YBR294W/YDR322C-A/YER103W/YCR098C/YDL004W/YNL052W/YPL271W/YBL030C/YJR045C/YGL187C/YJR121W/YDL067C/YKL217W/YPL265W/YDR529C/YGR243W/YPL078C/YMR241W/YKL073W/YLR259C/YER053C/YLR295C/YOR045W/YHR051W/YLR378C/YBR091C/YDR046C/YAL067C/YER145C/YPR191W/YML081C-A/YLR038C/YLR395C/YGR239C/YJR077C/YMR203W/YMR058W/YPR020W/YDR135C/YOR222W/YLR008C/YDR508C/YOL077W-A/YOR153W/YML055W/YPL244C/YGL114W/YMR256C/YLR136C/YHL036W/YGL080W/YGR055W/YPL098C/YJL214W",63
"34","Upregulated","GO:0098662","inorganic cation transmembrane transport","29/546","175/6447",0.165714285714286,1.9567032967033,3.90276080372793,0.000310159955540124,0.0120967662290971,0.0109992022979908,"YNR072W/YDR536W/YEL069C/YKL016C/YDR322C-A/YDL004W/YNL052W/YPL271W/YGL187C/YJR121W/YDL067C/YKL217W/YDR529C/YPL078C/YER053C/YLR295C/YHR051W/YER145C/YPR191W/YML081C-A/YLR038C/YLR395C/YMR058W/YPR020W/YDR135C/YOL077W-A/YMR256C/YLR136C/YJL214W",29
"35","Upregulated","GO:0046390","ribose phosphate biosynthetic process","15/546","66/6447",0.227272727272727,2.68356643356643,4.18154253104512,0.000313387726142411,0.0120967662290971,0.0109992022979908,"YKL016C/YDR322C-A/YDL004W/YPL271W/YJR121W/YPL078C/YLR295C/YDR226W/YML081C-A/YOR128C/YPR020W/YOL077W-A/YML022W/YGL234W/YER170W",15
"36","Upregulated","GO:0006364","rRNA processing","50/546","365/6447",0.136986301369863,1.61749209694415,3.69430963443032,0.000372468307510655,0.0138547818356602,0.0125977096125407,"YBR189W/YDR500C/YNCL0046W/YKL009W/YML063W/YER131W/YER074W/YGL076C/YOR310C/YML026C/YNL096C/YER102W/YPL090C/YLR264W/YMR143W/YDL191W/YGL078C/YNL069C/YNCD0030W/YOR096W/YBR181C/YOR369C/YDL036C/YDL166C/YDR064W/YIL069C/YNCL0042C/YLL011W/YHR065C/YBR048W/YKL006W/YGR081C/YLR435W/YDR299W/YLR068W/YGR128C/YOL010W/YJR055W/YLR409C/YBR279W/YAL025C/YGL029W/YPL211W/YNCG0015C/YCR087C-A/YNCP0015C/YFR001W/YNCN0013W/YOR078W/YCR016W",50
"37","Upregulated","GO:0016072","rRNA metabolic process","56/546","422/6447",0.132701421800948,1.56689755741888,3.66404627746957,0.000379442581731625,0.0138547818356602,0.0125977096125407,"YBR189W/YNL031C/YDR500C/YNCL0046W/YKL009W/YML063W/YER131W/YER074W/YGL076C/YNL113W/YOR310C/YML026C/YNL096C/YER102W/YPL090C/YLR264W/YNL178W/YMR143W/YDL191W/YGL078C/YER148W/YNL069C/YNCD0030W/YOR096W/YBR181C/YOR369C/YDL036C/YDL166C/YDR064W/YIL069C/YNCL0042C/YLL011W/YHR065C/YBR048W/YKL006W/YGR081C/YLR435W/YDR299W/YLR068W/YGR128C/YJL148W/YOL010W/YJR055W/YLR409C/YBR279W/YAL025C/YGL029W/YPL211W/YNCG0015C/YCR087C-A/YNCP0015C/YFR001W/YNCN0013W/YDR156W/YOR078W/YCR016W",56
