"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YOL053W",43.6004420929899,0.887444518528831,0.299024598844996,2.96719557301194,0.00300529728875808,0.0101592907740724,"Thin_vs_Early","S000005414","AIM39","854103","AIM39"
"YIL157C",99.0180792525221,0.657456803367722,0.221625203706491,2.96579327178776,0.00301903348767755,0.0101933548847586,"Thin_vs_Early","S000001419","COA1","854649","COA1"
"YOL124C",20.5242161584143,1.00673350359419,0.338443969294134,2.96580641350448,0.00301890449298949,0.0101933548847586,"Thin_vs_Early","S000005484","TRM11","853996","TRM11"
"YKL005C",374.890177321436,-0.491102976247948,0.16563835090791,-2.96537311737804,0.00302316023345325,0.0102011057907741,"Thin_vs_Early","S000001488","BYE1","853865","BYE1"
"YFL004W",308.529923633041,-0.568157472366319,0.191677114890643,-2.96363310887477,0.00304030538723097,0.0102416023911688,"Thin_vs_Early","S000001890","VTC2","850544","VTC2"
"YOR223W",44.6415593001959,-0.939620361428544,0.316981134428317,-2.96376061419387,0.00303904601018434,0.0102416023911688,"Thin_vs_Early","S000005749","DSC3","854398","DSC3"
"YOR388C",26.5461414337347,-0.899274015322921,0.302514162536965,-2.96359551625574,0.00304067678244359,0.0102416023911688,"Thin_vs_Early","S000005915","FDH1","854570","FDH1"
"YGL184C",112.705555079725,0.743685034171823,0.251139133009147,2.96332788004828,0.00304332208296062,0.0102443186248783,"Thin_vs_Early","S000003152","STR3","852691","STR3"
"YOR201C",88.995253859438,0.68646691576499,0.231778666211968,2.96255321597963,0.0030509906515388,0.0102639305070789,"Thin_vs_Early","S000005727","MRM1","854376","MRM1"
"YGR214W",375.845548107959,0.665183902713497,0.224509731383924,2.96230634654659,0.00305343816635334,0.0102659650119218,"Thin_vs_Early","S000003446","RPS0A","853128","RPS0A"
"YGR034W",286.471149753945,0.644291650097495,0.217524880607622,2.96168834191181,0.00305957304682235,0.0102803868780744,"Thin_vs_Early","S000003266","RPL26B","852922","RPL26B"
"YOR040W",75.4752453174988,-0.648912589569845,0.218923796810754,-2.96145936241966,0.00306184895977333,0.0102818327636511,"Thin_vs_Early","S000005566","GLO4","854205","GLO4"
"YGR044C",43.0750676032831,-0.875032286298517,0.2950629912309,-2.96099201598766,0.00306649888311551,0.0102890220430238,"Thin_vs_Early","S000003276","RME1","852935","RME1"
"YPL145C",176.181671128777,-0.56532329660324,0.190905803665566,-2.96087304281843,0.0030676836498766,0.0102890220430238,"Thin_vs_Early","S000006066","KES1","855958","KES1"
"YEL043W",99.0982368623837,-0.634931835667522,0.214583018731712,-2.95864672091493,0.00308993109337279,0.010357404405042,"Thin_vs_Early","S000000769","GTA1","856668","GTA1"
"YOL101C",9.83411757593955,-1.51705304803641,0.506017756636399,-2.95819903981579,0.00309442245938221,0.0103662222015744,"Thin_vs_Early","S000005461","IZH4","854052","IZH4"
"YLL056C",131.329820909926,0.562123306871725,0.190034212513859,2.95786421311291,0.00309778550240323,0.0103712518232502,"Thin_vs_Early","S000003979",NA,"850670","YLL056C"
"YBL022C",388.492359354114,-0.48433198172865,0.163880001928644,-2.95582374950759,0.00311835232336095,0.0104326616954079,"Thin_vs_Early","S000000118","PIM1","852259","PIM1"
"YHR027C",914.264934577417,0.484649147726639,0.163995698803878,2.95559264800805,0.00312068953869472,0.0104326616954079,"Thin_vs_Early","S000001069","RPN1","856422","RPN1"
"YML059C",297.751292771235,-0.696374671411074,0.235604315015894,-2.95548823653461,0.00312174601440405,0.0104326616954079,"Thin_vs_Early","S000004524","NTE1","854943","NTE1"
"YJR147W",8.92880736654573,-1.42028377222186,0.474685691996677,-2.95273772716222,0.00314969443606922,0.0105197528197492,"Thin_vs_Early","S000003908","HMS2","853612","HMS2"
"YPL028W",168.636708231721,-0.769654959123149,0.260467338384133,-2.95192266092196,0.00315802017223233,0.0105412404910164,"Thin_vs_Early","S000005949","ERG10","856079","ERG10"
"YDR034C",353.142919061239,0.581254563869702,0.196993312538019,2.95075668043097,0.0031699653037796,0.0105571760248378,"Thin_vs_Early","S000002441","LYS14","851598","LYS14"
"YDR234W",105.450489784969,0.803889059934021,0.272327232829857,2.95101180141108,0.00316734814935236,0.0105571760248378,"Thin_vs_Early","S000002642","LYS4","851820","LYS4"
"YLR272C",42.1368114927179,0.93927761864122,0.318060396374479,2.95082269949148,0.00316928785935011,0.0105571760248378,"Thin_vs_Early","S000004262","YCS4","850977","YCS4"
"YOR115C",50.3103852348791,0.770649551414798,0.260907931156771,2.95071682408464,0.00317037434743379,0.0105571760248378,"Thin_vs_Early","S000005641","TRS33","854282","TRS33"
"YHR130C",10.7703571362493,-1.35141561534829,0.454834771393193,-2.94681631070635,0.00321063863252094,0.0106848672770455,"Thin_vs_Early","S000001172",NA,"856531","YHR130C"
"YOL038W",291.322140296212,0.66154659460952,0.224712976093443,2.94494254781252,0.0032301463644357,0.0107433703858336,"Thin_vs_Early","S000005398","PRE6","854119","PRE6"
