"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","69/1759","158/5557",0.436708860759494,1.37964248961939,3.29445250272446,0.000859835792729958,0.0420801084486777,0.0395084110555351,"YMR145C/YFR015C/YOL126C/YER067W/YMR002W/YPL271W/YJL116C/YDR529C/YER065C/YPR191W/YMR105C/YKL085W/YOL086C/YKL148C/YLR134W/YOR065W/YIR031C/YPL262W/YJR121W/YLR258W/YOR178C/YJR120W/YFL018C/YNL037C/YJL166W/YMR030W/YEL039C/YEL011W/YCR005C/YLR044C/YER054C/YJL045W/YNR074C/YBL030C/YLR154W-C/YLR164W/YNR001C/YBR010W/YJL137C/YFR003C/YFR033C/YNL117W/YFR049W/YDL067C/YMR081C/YMR256C/YDR148C/YOR355W/YLR087C/YKR058W/YFR017C/YLR174W/YMR311C/YPR184W/YGL226W/YDR031W/YOR002W/YML070W/YDL085W/YIL050W/YIL057C/YGL134W/YBR238C/YNL169C/YFR021W/YFL053W/YGL256W/YKL055C/YPR001W",69
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","47/1759","100/5557",0.47,1.48481523592951,3.32916899083496,0.000866932762101154,0.0420801084486777,0.0395084110555351,"YJL052W/YCR012W/YMR145C/YHR174W/YAL038W/YKL060C/YBR117C/YPR127W/YIL155C/YHR183W/YKL152C/YOR047C/YGL253W/YOL086C/YGR254W/YPL075W/YBR196C/YOL136C/YOR374W/YMR303C/YGR043C/YLR231C/YDR050C/YHR202W/YNL129W/YJR009C/YLR446W/YOR344C/YNL241C/YDL021W/YNL200C/YPL061W/YGR240C/YLR174W/YGR256W/YGL037C/YDL085W/YHR074W/YOL056W/YJR078W/YOR347C/YEL041W/YGR010W/YCL047C/YEL029C/YDR400W/YMR096W",47
"GO:1902047","GO:1902047","polyamine transmembrane transport","9/1759","11/5557",0.818181818181818,2.58478474339759,3.5802491446028,0.000888648594256251,0.0420801084486777,0.0395084110555351,"YOR273C/YKR039W/YHL016C/YPL274W/YGR138C/YNR055C/YPR156C/YBR043C/YBR132C",9
"GO:0044282","GO:0044282","small molecule catabolic process","58/1759","129/5557",0.449612403100775,1.42040711997215,3.28761956487225,0.000924951552861546,0.0420801084486777,0.0395084110555351,"YGR087C/YNR071C/YPL095C/YPL111W/YLR142W/YPR127W/YIL155C/YHL032C/YDL168W/YMR105C/YCL064C/YLR438W/YLR134W/YBR208C/YJR159W/YFL018C/YLR231C/YDR050C/YFR055W/YPR006C/YGL205W/YHR037W/YOR391C/YLR044C/YER043C/YKR009C/YNL239W/YGL156W/YPL280W/YPL061W/YDR148C/YOR363C/YEL020C/YGR240C/YAL044C/YGL196W/YER010C/YIR023W/YML070W/YOL055C/YHR046C/YJL060W/YKL106W/YJR019C/YOR040W/YJR078W/YHR208W/YJR148W/YPR128C/YER073W/YML076C/YDR539W/YEL046C/YOR388C/YDR400W/YFL053W/YPR001W/YNL202W",58
"GO:0072521","GO:0072521","purine-containing compound metabolic process","79/1759","186/5557",0.424731182795699,1.34180283274343,3.22657014976738,0.00103114813075936,0.0420801084486777,0.0395084110555351,"YJL052W/YCR012W/YMR145C/YHR174W/YAL038W/YKL060C/YBR117C/YNL141W/YIL155C/YPL271W/YHR183W/YJL116C/YKL152C/YKL016C/YGL253W/YML081C-A/YOL086C/YMR246W/YML075C/YGR254W/YDR322C-A/YIR031C/YOL077W-A/YPL075W/YJR121W/YBR196C/YOL136C/YDL238C/YOR374W/YMR303C/YGR043C/YNR043W/YLR231C/YDR050C/YBL099W/YPL078C/YER043C/YHR202W/YNL129W/YJR009C/YNR001C/YLR446W/YGR204W/YOR344C/YNL241C/YKL181W/YIR028W/YIR027C/YMR207C/YDL021W/YLR153C/YPL061W/YDR148C/YGR240C/YOL061W/YLR174W/YNR016C/YGR256W/YLR295C/YLR450W/YJR105W/YIL009W/YDL085W/YJR019C/YPR020W/YHR074W/YOL056W/YJR078W/YMR208W/YPL273W/YER099C/YOR347C/YBR127C/YEL041W/YGR010W/YBR252W/YHL011C/YCL047C/YDR400W",79
"GO:0009063","GO:0009063","amino acid catabolic process","28/1759","53/5557",0.528301886792453,1.66900146953136,3.33013892833177,0.00105415264437294,0.0420801084486777,0.0395084110555351,"YGR087C/YPL111W/YLR142W/YDL168W/YOL086C/YCL064C/YLR438W/YLR134W/YMR303C/YFL018C/YLR231C/YFR055W/YHR037W/YLR044C/YER043C/YNL239W/YLR098C/YDR148C/YAL044C/YGL196W/YIR023W/YJL060W/YKL106W/YJR078W/YHR208W/YJR148W/YEL046C/YGL256W",28
"GO:0006066","GO:0006066","alcohol metabolic process","57/1759","127/5557",0.448818897637795,1.41790029230996,3.24198632532654,0.00107490655815283,0.0420801084486777,0.0395084110555351,"YGR087C/YNR073C/YGR060W/YMR145C/YIL155C/YMR015C/YHL032C/YDL168W/YPL201C/YML087C/YEL070W/YOL086C/YLR056W/YLR134W/YML075C/YIL053W/YHR007C/YJR159W/YGR175C/YGL001C/YOR374W/YMR303C/YNR043W/YNL037C/YDR050C/YHR072W/YGR144W/YPL028W/YMR296C/YLR044C/YLR100W/YPL061W/YOL032W/YMR202W/YLR174W/YHR079C/YAL061W/YML070W/YOL055C/YHR046C/YGL012W/YLR450W/YDL085W/YOR171C/YCR105W/YLR410W/YPR121W/YMR208W/YML125C/YER073W/YMR318C/YNL280C/YDR315C/YCR048W/YFL053W/YPL103C/YGL256W",57
"GO:0009086","GO:0009086","methionine biosynthetic process","19/1759","32/5557",0.59375,1.87576392836839,3.38090104151479,0.00108056979008509,0.0420801084486777,0.0395084110555351,"YKL001C/YPR167C/YLR303W/YKR069W/YNL277W/YIR017C/YMR009W/YER052C/YFR055W/YLL062C/YGR204W/YNL103W/YGL184C/YLL058W/YJR024C/YHR208W/YJR148W/YPL273W/YPR118W",19
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process","19/1759","32/5557",0.59375,1.87576392836839,3.38090104151479,0.00108056979008509,0.0420801084486777,0.0395084110555351,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",19
"GO:0046031","GO:0046031","ADP metabolic process","19/1759","32/5557",0.59375,1.87576392836839,3.38090104151479,0.00108056979008509,0.0420801084486777,0.0395084110555351,"YJL052W/YCR012W/YHR174W/YAL038W/YKL060C/YKL152C/YGL253W/YGR254W/YPL075W/YBR196C/YOL136C/YDR050C/YJR009C/YLR446W/YOR344C/YDL021W/YGR240C/YOL056W/YOR347C",19
