"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009117","GO:0009117","nucleotide metabolic process",181,-0.362806973792908,-1.71040199403874,4.67431447845175e-05,0.000766467720248691,0.000585393230229855,891,"tags=30%, list=16%, signal=26%","YDR399W/YMR120C/YMR205C/YAR015W/YJR051W/YMR315W/YBR145W/YER099C/YEL041W/YNL333W/YHR074W/YDR400W/YBR127C/YGR256W/YHL011C/YMR271C/YMR323W/YJR009C/YGR010W/YCL047C/YJR105W/YDR050C/YER005W/YDL021W/YGR240C/YJR078W/YDL085W/YOL061W/YOR347C/YLR014C/YLR446W/YBR196C/YOL086C/YKL181W/YNR012W/YGR254W/YHR202W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YNL129W/YMR303C/YOL136C/YHR183W/YNL141W/YAL038W/YLR231C/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0022900","GO:0022900","electron transport chain",33,0.631717195930702,2.05065549381826,5.35297414074837e-05,0.000866639737470527,0.000661900066970618,1050,"tags=55%, list=19%, signal=45%","YNR074C/YOR065W/YEL039C/YDR529C/YFR033C/YJL045W/YPR191W/YPL252C/YJL166W/YMR256C/YKL148C/YGL226W/YDL067C/YLR395C/YGL191W/YPR140W/YHR001W-A/YJR048W"
"GO:0009259","GO:0009259","ribonucleotide metabolic process",91,-0.445239887287722,-1.91423958546327,5.79514835312465e-05,0.000926499342955804,0.000707618114697326,891,"tags=34%, list=16%, signal=29%","YDR399W/YMR120C/YMR205C/YAR015W/YNL333W/YBR127C/YMR271C/YMR323W/YJR009C/YJR105W/YDR050C/YER005W/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YNR012W/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0070585","GO:0070585","protein localization to mitochondrion",73,0.514751494955499,1.97585350339499,6.91269884591415e-05,0.00107821241755173,0.000823489669962558,1472,"tags=48%, list=26%, signal=36%","YPL240C/YKL195W/YOR020C/YHR005C-A/YOR045W/YEL020W-A/YLR099W-A/YNL070W/YOL027C/YKR016W/YBR091C/YOR027W/YJR135W-A/YER154W/YPL063W/YNR017W/YNL121C/YPR133W-A/YPL098C/YJR045C/YAL005C/YLR259C/YGR181W/YOR232W/YBR230C/YLR008C/YOL026C/YJL104W/YBR185C/YBL045C/YIL022W/YER017C/YMR060C/YKR065C/YIR004W"
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion",73,0.514751494955499,1.97585350339499,6.91269884591415e-05,0.00107821241755173,0.000823489669962558,1472,"tags=48%, list=26%, signal=36%","YPL240C/YKL195W/YOR020C/YHR005C-A/YOR045W/YEL020W-A/YLR099W-A/YNL070W/YOL027C/YKR016W/YBR091C/YOR027W/YJR135W-A/YER154W/YPL063W/YNR017W/YNL121C/YPR133W-A/YPL098C/YJR045C/YAL005C/YLR259C/YGR181W/YOR232W/YBR230C/YLR008C/YOL026C/YJL104W/YBR185C/YBL045C/YIL022W/YER017C/YMR060C/YKR065C/YIR004W"
"GO:0044248","GO:0044248","cellular catabolic process",103,-0.426297757722079,-1.86392946514824,7.77367140453049e-05,0.00119789466583066,0.000914897534991032,817,"tags=39%, list=15%, signal=34%","YFR047C/YDL215C/YBR222C/YLR284C/YBR281C/YNL009W/YDL080C/YBR006W/YML076C/YDR539W/YNL202W/YEL020C/YOR388C/YHR208W/YPR128C/YEL046C/YGL196W/YOL055C/YIR023W/YHR037W/YER010C/YJR148W/YKR009C/YKL106W/YJR078W/YJR019C/YOR363C/YKL157W/YNL239W/YLR044C/YLR142W/YLR299W/YER043C/YGL205W/YLR134W/YCL064C/YLR231C/YFR055W/YPL095C/YGR087C"
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process",54,-0.517830907434992,-2.0102625094392,8.86699470868266e-05,0.0013428023370128,0.00102557143224384,654,"tags=41%, list=12%, signal=36%","YBR127C/YMR323W/YJR009C/YDR050C/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0046942","GO:0046942","carboxylic acid transport",75,-0.46150592430264,-1.92175440561674,8.92401865880281e-05,0.0013428023370128,0.00102557143224384,786,"tags=39%, list=14%, signal=34%","YIL121W/YPR058W/YKL187C/YIL006W/YOL147C/YJL079C/YJL078C/YCR075C/YIL088C/YMR034C/YGR191W/YBR043C/YKR105C/YKL120W/YGL077C/YEL064C/YGR260W/YEL063C/YEL062W/YPL265W/YCR028C/YKR039W/YNL065W/YOR348C/YNL101W/YJL193W/YMR246W/YDL210W/YJR152W"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process",56,-0.504528875930304,-1.97755952666779,9.06410177183023e-05,0.00134802164722917,0.0010295577043156,654,"tags=39%, list=12%, signal=35%","YBR127C/YMR323W/YJR009C/YDR050C/YDL021W/YGR240C/YOR347C/YLR446W/YBR196C/YGR254W/YOR344C/YOL056W/YKL152C/YPL075W/YKL060C/YOL136C/YAL038W/YGL253W/YHR174W/YJL116C/YCR012W/YJL052W"
"GO:0006650","GO:0006650","glycerophospholipid metabolic process",124,-0.392794630416815,-1.7824183674678,9.41932838416553e-05,0.00138474954061468,0.00105760880102911,1235,"tags=40%, list=22%, signal=32%","YOR311C/YDR434W/YCL004W/YGR007W/YJL062W/YNL054W/YPL175W/YDR017C/YLR305C/YOL065C/YIL039W/YPL076W/YDR287W/YNL128W/YIL002C/YLR386W/YDR072C/YDR147W/YLR088W/YGR046W/YOR149C/YBR042C/YLR459W/YFL025C/YOR109W/YLR240W/YLL031C/YNL087W/YPL103C/YNL169C/YLR133W/YLR347C/YCR044C/YCL052C/YNL264C/YKL212W/YGL142C/YHR123W/YPL206C/YBR029C/YPL110C/YGR149W/YNL130C/YKR031C/YCR017C/YHR046C/YER043C/YKR070W/YGR157W/YCR068W"
