"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YJR035W",112.888729847756,-0.623366426548458,0.221269118925366,-2.81467925844379,0.00488259382441116,0.0112030190262745,"Mature_vs_Early","S000003796","RAD26","853492","RAD26"
"YPL167C",115.673723968063,-0.610247704197182,0.216608697553657,-2.81307893031598,0.00490696047878898,0.0112542926419652,"Mature_vs_Early","S000006088","REV3","855936","REV3"
"YDR330W",84.516775173621,0.597482080856038,0.212418840714333,2.81289688206087,0.00490973930876342,0.0112560319708317,"Mature_vs_Early","S000002738","UBX5","851930","UBX5"
"YER080W",197.060005173267,0.592812509998142,0.211007958797409,2.81009114799945,0.00495274713458537,0.0113499606280441,"Mature_vs_Early","S000000882","AIM9","856813","AIM9"
"YJL047C",67.3935791738165,-0.706989372300679,0.251423644303942,-2.80975834588253,0.00495787104657252,0.0113570310857136,"Mature_vs_Early","S000003583","RTT101","853400","RTT101"
"YER044C-A",10.2859955339241,-1.49996188448971,0.523036336324209,-2.80899790693221,0.00496959696823234,0.0113792127866923,"Mature_vs_Early","S000001954","MEI4","856768","MEI4"
"YDR164C",55.0001019700481,-0.793490376413507,0.282300941779656,-2.80862009357164,0.00497543214761015,0.0113878933830469,"Mature_vs_Early","S000002571","SEC1","851742","SEC1"
"YPL149W",51.3974264256132,-0.834691798160115,0.297409717844172,-2.80774700200413,0.00498894041484393,0.0114141219922363,"Mature_vs_Early","S000006070","ATG5","855954","ATG5"
"YJR008W",91.737928433665,-0.662149472192693,0.23589402950578,-2.80628433066864,0.00501164485506428,0.0114613602165694,"Mature_vs_Early","S000003768","MHO1","853464","MHO1"
"YNL048W",74.6402802182658,-0.654501682495891,0.233191920680986,-2.80534319298169,0.0050263030991977,0.0114901660096965,"Mature_vs_Early","S000004993","ALG11","855679","ALG11"
"YLR328W",32.0522154598838,0.820845904510759,0.292575501509133,2.80394946514991,0.00504808165957917,0.0115352185912697,"Mature_vs_Early","S000004320","NMA1","851039","NMA1"
