"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","SGD","GENENAME","ENTREZID","label"
"YAL025C",36.9879040362679,1.23036905127192,0.350838295148854,3.4901662736093,0.000482720104010545,0.00208629456900136,"Up","S000000023","MAK16","851208","MAK16"
"YAL026C",93.2228577926727,0.994024716498003,0.267952036909749,3.70964992543026,0.000207546025679417,0.000995899146477203,"NS","S000000024","DRS2","851207","DRS2"
"YAL027W",24.747344653623,-0.190999697793934,0.343810707487393,-0.552879807230765,0.580345715364221,0.686871888738916,"NS","S000000025","SAW1","851206","SAW1"
"YAL028W",20.802758773058,-1.60229735258479,0.405926515498104,-3.92652835001458,8.61807386642082e-05,0.000464325817309772,"Down","S000000026","FRT2","851205","FRT2"
"YAL029C",194.288374897615,0.740432107016884,0.212186049928528,3.48989921109965,0.000483202749514426,0.00208676164150765,"NS","S000000027","MYO4","851204","MYO4"
"YAL030W",86.7339227016497,0.0767355163892773,0.22535298877729,0.341066999980864,0.733053143526162,0.81375706242203,"NS","S000000028","SNC1","851203","SNC1"
"YAL031C",87.9469100094359,0.459037582724935,0.258367333346556,1.78194750127083,0.0747577932934467,0.139056983785573,"NS","S000000029","GIP4","851202","GIP4"
"YAL032C",38.4060562458278,0.97626175893075,0.29983312572128,3.25484917411912,0.00113452599904637,0.0042908651328495,"NS","S000000030","PRP45","851201","PRP45"
"YAL033W",17.9858133557299,0.979953533353933,0.390056300948136,2.50060100102867,0.0123982774197933,0.0320216984263647,"NS","S000000031","POP5","851200","POP5"
"YAL034C",208.522305622475,-1.57203895801927,0.249926026665602,-6.28658637175694,3.24522500445111e-10,5.49518191483196e-09,"Down","S000002134","FUN19","851199","FUN19"
"YAL034W-A",11.100512551622,0.46442265212603,0.436966042853378,1.0571107891347,0.290461027758885,0.410595885725641,"NS","S000000032","MTW1","851197","MTW1"
"YAL035W",394.769054120661,-0.196095326742886,0.281182323137934,-0.697498199170598,0.485491065991873,0.602108354550473,"NS","S000000033","FUN12","851196","FUN12"
"YAL036C",34.3252732010153,1.28992400048964,0.310314560023037,4.136999451796,3.51876949854464e-05,0.000210107876488663,"Up","S000000034","RBG1","851195","RBG1"
"YAL037W",13.4922294026666,0.553688131860359,0.520696763536295,1.11261732251785,0.265872817514393,0.382634323526914,"NS","S000000035",NA,"851194","YAL037W"
"YAL038W",2235.99446417223,1.3752453927621,0.184827465449741,7.44230235357652,9.89454339606792e-14,2.96357533653196e-12,"Up","S000000036","CDC19","851193","CDC19"
"YAL039C",72.5482666450213,-0.329564675532455,0.236662989752344,-1.39322915279816,0.163550506711295,0.260996812629225,"NS","S000000037","CYC3","851192","CYC3"
"YAL040C",47.9641176492288,1.61074113615406,0.34165129378225,4.69621341031501,2.65028643895739e-06,2.09132376082601e-05,"Up","S000000038","CLN3","851191","CLN3"
"YAL041W",57.3499415735381,0.859581368951021,0.284580299692158,3.02361596791017,0.00249773278814459,0.00844861527793169,"NS","S000000039","CDC24","851190","CDC24"
"YAL042W",68.9165791196915,0.312979936449396,0.260725713481751,1.2036994033791,0.228705782959658,0.340582709668071,"NS","S000000040","ERV46","851256","ERV46"
"YAL043C",30.4835223344355,0.73808170418083,0.372393334075657,1.98033914014638,0.047665433557631,0.0960376601625903,"NS","S000000041","PTA1","851255","PTA1"
"YAL044C",130.145449455581,-0.721261086111277,0.193450713106862,-3.72916883518629,0.000192112404781435,0.000932280668151021,"NS","S000000042","GCV3","851254","GCV3"
"YAL044W-A",47.4669054416309,-0.252176074729283,0.303975225855346,-0.830036823951097,0.406517964118741,0.527973150353457,"NS","S000007586","BOL1","851252","BOL1"
"YAL046C",27.2077419826947,0.839057517463598,0.350415573559252,2.37906822924815,0.017356463046383,0.0420221015347238,"NS","S000000044","BOL3","851251","BOL3"
"YAL047C",21.0493861492109,-0.226361765254059,0.414274991700264,-0.545463439711661,0.585434818915061,0.691133158757323,"NS","S000000045","SPC72","851250","SPC72"
"YAL048C",31.6130340608968,0.827272811338715,0.360052665066392,2.30947721899145,0.0209171144008128,0.0486976137063,"NS","S000000046","GEM1","851249","GEM1"
"YAL049C",241.165664252191,0.359467400076807,0.19119160413491,1.87988359044184,0.0601239447833745,0.116585623525297,"NS","S000000047","AIM2","851248","AIM2"
